empresa,sigla,anio,mes,fecha,idpozo,prod_pet(m3/mes),prod_pet(m3/d),prod_pet(bbl/d),prod_gas(Mm3/mes),prod_gas(m3/d),prod_gas(BOE/d),prod_agua(m3/mes),prod_agua(m3/d),prod_agua(bbl/d),total_prod_fluidos(boe/d),tipoextraccion,tipopozo,profundidad,formacion,areayacimiento,provincia,coordenadax,coordenaday
YPF S.A.,YPF.Nq.LLL-547(h),2006,1,2006-01-01,144653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Otro tipo,4341.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.834,-38.3062
YPF S.A.,YPF.Nq.LLL-636,2006,1,2006-01-01,145091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Otro tipo,3072.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.825,-38.3193
YPF S.A.,YPF.Nq.LGus.x-1,2006,1,2006-01-01,136060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Otro tipo,3042.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.9156,-38.3339
YPF S.A.,YPF.MdN.MDM-94,2006,1,2006-01-01,137233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Otro tipo,2352.0,vaca muerta,MALAL DEL MEDIO,Mendoza,-69.6204,-36.206
YPF S.A.,YPF.Nq.LLL-654(d),2006,1,2006-01-01,145263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Otro tipo,3221.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.7181,-38.3209
YPF S.A.,YPF.Nq.LLL.a-513,2006,1,2006-01-01,136589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Otro tipo,3040.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.8461,-38.3128
YPF S.A.,YPF.Nq.LLL-648(d),2006,1,2006-01-01,145546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Otro tipo,3203.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.7454,-38.3008
YPF S.A.,YPF.Nq.LLL-647(d),2006,1,2006-01-01,145545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Otro tipo,3213.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.7457,-38.3008
YPF S.A.,YPF.Nq.LCue.x-1,2006,1,2006-01-01,136381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Otro tipo,3067.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.799,-38.3264
YPF S.A.,YPF.Nq.LLL-657(d),2006,1,2006-01-01,145390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Otro tipo,3400.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.7185,-38.3209
YPF S.A.,YPF.Nq.LLL-655(d),2006,1,2006-01-01,145264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Otro tipo,3188.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.7181,-38.3217
YPF S.A.,YPF.Nq.LLL-656(d),2006,1,2006-01-01,145093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Otro tipo,3165.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.7184,-38.3217
YPF S.A.,YPF.Nq.LLL.a-481,2006,1,2006-01-01,144388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Otro tipo,3058.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.8933,-38.3055
YPF S.A.,YPF.Nq.SOil.x-1,2006,1,2006-01-01,135484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Otro tipo,3165.0,vaca muerta,LOMA CAMPANA,Neuquén,-68.6314285963,-38.3572280003
YPF S.A.,YPF.Nq.LLL-637(d),2006,1,2006-01-01,145092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Otro tipo,3064.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.8253,-38.3193
YPF S.A.,YPF.Nq.LLL.x-475,2006,1,2006-01-01,135480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Otro tipo,3246.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.8690281375,-38.2987507545
YPF S.A.,YPF.Nq.LLL-641(d),2006,1,2006-01-01,145389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Otro tipo,3070.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.9011,-38.3101
PETROBRAS ARGENTINA S.A.,YPF.Nq.PSNo.x-2,2006,1,2006-01-01,42936,0.458,0.0150163934426229,0.0944502616393442,0.0,0.0,0.0,0.0,0.0,0.0,0.0944502616393442,Sin Sistema de Extracción,Petrolífero,3447.0,vaca muerta,PUESTO SIN NOMBRE,Neuquén,-68.45236,-38.19995
YPF S.A.,YPF.Nq.LLL-634(d),2006,1,2006-01-01,145089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Otro tipo,3065.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.825,-38.3201
YPF S.A.,YPF.Nq.LLL-572(d),2006,1,2006-01-01,145542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sin Sistema de Extracción,Otro tipo,3131.0,vaca muerta,LOMA CAMPANA-LLL,Neuquén,-68.7971,-38.3321
